epoch,train,val,lr
1,0.924772559428988,0.2775963084847403,0.001
2,0.5295835729732977,0.20424686639565523,0.001
3,0.45423764386654636,0.19710139303463992,0.001
4,0.4170555033275677,0.1767011741618939,0.001
5,0.39622232756735226,0.1806671650821318,0.001
6,0.3886007372360347,0.1721088770125479,0.001
7,0.3722034583953024,0.16371689501631956,0.001
8,0.36503059727857584,0.16253506138987606,0.001
9,0.3631512639675302,0.1660338638208372,0.001
10,0.35249846726828493,0.15987630290033572,0.001
11,0.3442984084188593,0.17252861566073158,0.001
12,0.3446112057443569,0.15993185060708512,0.001
13,0.33224186349253265,0.16165978968678035,0.001
14,0.33576961422129886,0.1647734228404648,0.001
15,0.32623102203937443,0.16923844251664766,0.0005
16,0.3205979586291709,0.1671403940483059,0.0005
17,0.31144955520784473,0.16808035258755022,0.0005
18,0.3062038674191451,0.17363773576347283,0.0005
19,0.3083204605527846,0.165878425197751,0.0005
20,0.29822952018217525,0.1583437104128936,0.0005
21,0.2958408236641628,0.17166314662304694,0.0005
22,0.2964884129840635,0.17166414430590488,0.0005
23,0.2913950071319656,0.17073118896495065,0.0005
24,0.28745375193485834,0.15917998763477856,0.0005
25,0.28532852660914915,0.16449373908374343,0.00025
26,0.2785268709586882,0.16078737869925563,0.00025
27,0.2759871582171025,0.15994764157474842,0.00025
28,0.27452257724169,0.1651214801008926,0.00025
29,0.2735520622494229,0.1602163428415632,0.00025
30,0.27131290362291655,0.1598878326170113,0.000125
31,0.2700798611517166,0.1593680086157247,0.000125
32,0.2690883343891948,0.15679172325561935,0.000125
33,0.2685208178823724,0.1594335692212186,0.000125
34,0.2676371392516821,0.15734268191683987,0.000125
35,0.26666635653311016,0.15970542878580735,0.000125
36,0.2661723361563747,0.15798406057026354,0.000125
37,0.26538290881664306,0.15872205801876135,0.000125
38,0.2647785477912458,0.15808064225275956,0.000125
39,0.26402936276265526,0.15788947024420238,0.000125
40,0.2632425630451491,0.1580708559853079,0.000125
41,0.26240971134073343,0.15984857018218446,0.000125
42,0.2618411332656407,0.15805105011024817,0.000125
43,0.2608994111269195,0.15904809195097253,0.000125
44,0.26060220518083654,0.15747027954445827,0.000125
