,bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
H1,0.5117062926292419,0.49268704652786255,0.11830807477235794,0.46923986077308655,0.1470007449388504,0.23320075869560242
H3,0.8194724917411804,0.7670097351074219,0.35209572315216064,0.6963022947311401,0.43974339962005615,0.3552670478820801
H5,0.9869713187217712,0.915773332118988,0.5757789611816406,0.7373560070991516,0.6646934747695923,0.40591466426849365
