feature,delta_rmse_z,delta_rmse_phys
stellar_mass,0.3378776013851166,0.0115313529968261
vel_disp,0.3277725279331207,8.544063091278076
halo_mass,0.2833090722560882,6.935431957244873
bh_acc,0.2349567115306854,9.5367431640625e-07
bh_mass,0.2271036207675933,0.0
sfr,0.2172776758670807,1.6749696731567385
