feature,delta_rmse_z
stellar_mass,0.3378776013851166
vel_disp,0.3277725279331207
halo_mass,0.28330907225608826
bh_acc,0.23495671153068542
bh_mass,0.22710362076759338
sfr,0.2172776758670807
